replication,scenario,liters,operation_h,pause_h,monitored_h,efficiency
0,baseline,182508.6982183388,89.47064999999995,127.04493694444436,216.51558694444427,0.41322960283204563
0,s1_5s_visual,186575.95029586175,91.28071358015185,125.23487336429245,216.51558694444427,0.42158957176405765
0,s2_tpm,221955.01763492884,107.36286467230292,109.15272227214133,216.51558694444427,0.49586667725613287
0,s3_integrated,244029.18979564245,117.22313137711336,99.29245556733088,216.51558694444427,0.5414073556154257
1,baseline,225160.76293362465,107.96178388888882,119.6418894444444,227.60367333333318,0.47434113126449934
1,s1_5s_visual,229540.54059176758,109.81181079874762,117.79186253458563,227.60367333333318,0.4824694135666455
1,s2_tpm,262282.4524947168,125.9130364023938,101.69063693093936,227.60367333333318,0.5532117938096278
1,s3_integrated,283747.99704728957,135.65659736282652,91.94707597050662,227.60367333333318,0.5960211246861244
2,baseline,182512.85977207808,88.356578611111,133.40005555555553,221.75663416666654,0.3984393925491514
2,s1_5s_visual,188276.2242150576,90.71793645497854,131.03869771168797,221.75663416666654,0.4090878128444053
2,s2_tpm,221442.77925298444,107.06105894525294,114.6955752214135,221.75663416666654,0.4827862731032823
2,s3_integrated,245312.60946005388,117.7155586737887,104.04107549287775,221.75663416666654,0.5308321850940285
3,baseline,203947.8247636504,93.76590055555552,117.36340277777767,211.12930333333318,0.4441159946779956
3,s1_5s_visual,208394.2689235991,95.53091511896763,115.59838821436556,211.12930333333318,0.45247586957714914
3,s2_tpm,238670.34744348007,109.39379807420198,101.73550525913122,211.12930333333318,0.5181364990414897
3,s3_integrated,262070.40732395352,119.1703068009141,91.95899653241901,211.12930333333318,0.5644422868803141
4,baseline,205675.08340976405,96.96309916666664,157.20745666666656,254.1705558333331,0.3814883232590014
4,s1_5s_visual,210851.55089645056,99.07859251210104,155.0919633212321,254.1705558333331,0.3898114484081693
4,s2_tpm,263379.70218165865,122.69632183354484,131.4742339997883,254.1705558333331,0.4827322402914377
4,s3_integrated,292150.2221688203,134.66986752699125,119.50068830634193,254.1705558333331,0.529840551693557
5,baseline,201842.23008408453,90.07405083333319,133.19675555555554,223.2708063888888,0.40342959426788627
5,s1_5s_visual,207447.54087205965,92.28722465003766,130.9835817388511,223.2708063888888,0.41334210299439483
5,s2_tpm,237819.42857388133,106.01108523853318,117.2597211503555,223.2708063888888,0.4748094341267578
5,s3_integrated,262531.36453856184,116.38635312349837,106.88445326539035,223.2708063888888,0.5212788676042978
6,baseline,207386.7224162037,99.11380916666668,114.30198777777768,213.4157969444443,0.4644164611322922
6,s1_5s_visual,212502.2845313849,101.36052701399089,112.05526993045348,213.4157969444443,0.47494388168639984
6,s2_tpm,237870.3583480797,113.42277550480257,99.99302143964171,213.4157969444443,0.5314638238064843
6,s3_integrated,258848.83723495514,122.78122791792212,90.6345690265222,213.4157969444443,0.575314619048018
7,baseline,218213.31513959853,97.01795083333332,132.059366111111,229.07731694444425,0.42351618277798353
7,s1_5s_visual,224891.4312677763,99.59614686978904,129.48117007465532,229.07731694444425,0.43477088084606413
7,s2_tpm,257565.87267823252,114.3691668425084,114.70815010193584,229.07731694444425,0.4992601116864189
7,s3_integrated,283991.7453531724,125.32028522766561,103.75703171677866,229.07731694444425,0.5470654489028184
8,baseline,210707.76885375977,104.03004388888891,131.08134083333317,235.111384722222,0.4424713163584048
8,s1_5s_visual,214512.83320272,105.61010526986112,129.50127945236096,235.111384722222,0.44919179645271845
8,s2_tpm,248692.5039903883,122.93582007466335,112.1755646475587,235.111384722222,0.5228833143061483
8,s3_integrated,270234.2320925378,132.66952455171963,102.44186017050245,235.111384722222,0.5642837104994521
9,baseline,209406.10765051114,100.38419472222212,127.62352805555552,228.00772277777762,0.4402666431612899
9,s1_5s_visual,214384.35778526613,102.629889801564,125.37783297621365,228.00772277777762,0.45011584937230315
